●04주차 (2019년 01월 21일 ~ 2019년 01월 27일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
128,카프리 레볼루션,,"243,000",0.0%,"243,000",100.0%,"243,000",36,36,100.0%,36,1,1,이탈리아,"이탈리아,프랑스",
129,원스,2007-09-20,"284,000",0.0%,"-1,211,000",-81.0%,"1,892,171,500",35,-136,-79.5%,"271,320",4,5,아일랜드,아일랜드,"(주)제이앤씨미디어그룹,(주)영화사 진진"
130,"24프레임, 25프레임",,"214,000",0.0%,"214,000",100.0%,"214,000",34,34,100.0%,34,1,1,이탈리아,,
130,살로메,,"68,000",0.0%,"68,000",100.0%,"2,764,000",34,34,100.0%,"1,379",1,1,미국,미국,
132,프리드킨 언컷,,"208,000",0.0%,"208,000",100.0%,"208,000",33,33,100.0%,33,1,1,이탈리아,이탈리아,
133,인 디 아일,2018-11-22,"255,000",0.0%,"-263,000",-50.8%,"86,393,900",30,-31,-50.8%,"10,082",1,3,독일,독일,M&M 인터내셔널
134,"안녕, 나의 소녀 시절이여",2018-12-12,"58,000",0.0%,"-70,000",-54.7%,"17,904,500",29,-10,-25.6%,"2,312",1,13,한국,한국,(주)드림팩트엔터테인먼트
135,굿바이 사이공,,"201,000",0.0%,"201,000",100.0%,"201,000",28,28,100.0%,28,1,1,이탈리아,이탈리아,
135,할머니의 먼 집,2016-09-29,"56,000",0.0%,"2,000",3.7%,"28,139,900",28,1,3.7%,"4,781",1,14,한국,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
137,인종법-1938,,"188,000",0.0%,"188,000",100.0%,"188,000",27,27,100.0%,27,1,1,이탈리아,이탈리아,
137,완전 범죄,,"54,000",0.0%,"-110,000",-67.1%,"1,396,000",27,-55,-67.1%,302,1,1,이탈리아,이탈리아,
139,진홍의 도적,,"52,000",0.0%,"52,000",100.0%,"9,396,000",26,26,100.0%,"4,374",1,1,미국,미국,
140,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,"187,000",0.0%,"-9,077,200",-98.0%,"2,735,399,650",24,"-1,246",-98.1%,"353,012",3,8,일본,일본,(주)씨제이이엔엠
140,러브 미 텐더,,"48,000",0.0%,"48,000",100.0%,"5,926,000",24,24,100.0%,"2,941",1,1,미국,미국,
142,갈매기,2018-12-13,"194,000",0.0%,"-550,000",-73.9%,"97,698,950",23,-71,-75.5%,"11,887",1,3,미국,미국,(주)뮤제엔터테인먼트
143,내 아내의 언니 3,2019-01-24,"105,000",0.0%,"105,000",100.0%,"105,000",20,20,100.0%,20,20,20,한국,한국,(주)영화사가을
144,귀여운 여도적,1990-04-28,"90,000",0.0%,"-70,000",-43.8%,"250,000",19,-13,-40.6%,51,1,1,프랑스,프랑스,미라맥스 필름즈
145,영주,2018-11-22,"114,000",0.0%,"-159,000",-58.2%,"192,717,750",17,-20,-54.1%,"24,821",3,7,한국,한국,CGV아트하우스
145,앙: 단팥 인생 이야기,2015-09-10,"152,000",0.0%,"-1,136,500",-88.2%,"223,550,362",17,-125,-88.0%,"28,083",1,1,일본,일본,그린나래미디어(주)
147,레인보우: 나의 사랑,2019-01-03,"101,000",0.0%,"-845,700",-89.3%,"14,260,350",16,-147,-90.2%,"1,894",3,8,이탈리아,"이탈리아,프랑스",(주)마노엔터테인먼트
148,세상에서 가장 행복한 소년,,"90,000",0.0%,"90,000",100.0%,"90,000",15,15,100.0%,15,1,1,이탈리아,이탈리아,
